candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_district,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Subhas Chandra Debnath,http://myneta.info/tripura2013/candidate.php?candidate_id=109,MOHANPUR,CPI(M),0,Post Graduate,6440528,0,6440528,2,GEN,West Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Subir Kr. Jamatiya,http://myneta.info/tripura2013/candidate.php?candidate_id=74,AMPINAGAR (ST),BJP,0,8th Pass,238500,0,238500,41,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Subirjit Sinha,http://myneta.info/tripura2013/candidate.php?candidate_id=270,BAGBASSA,CPI(ML)(L),0,Graduate,676262,20000,656262,55,GEN,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Subodh Das,http://myneta.info/tripura2013/candidate.php?candidate_id=104,PANISAGAR,CPI(M),0,10th Pass,314178,0,314178,58,GEN,North Tripura,Tripura East,true,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=104&id2=146,314178,3457,310721,8988%,Party in last election was CPM
Subodh Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=226,SIMNA (ST),IPFT,0,12th Pass,465000,0,465000,1,ST,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Subodh Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=154,BAGMA (ST),IPFT,0,Graduate,25000,0,25000,30,ST,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Subrata Chakraborty,http://myneta.info/tripura2013/candidate.php?candidate_id=275,BANAMALIPUR,SUCI(C),0,Graduate,25000,0,25000,9,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Subrata Malakar,http://myneta.info/tripura2013/candidate.php?candidate_id=81,FATIKROY (SC),BJP,0,8th Pass,1056000,14000,1042000,51,SC,Unakoti,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Sudhan Das,http://myneta.info/tripura2013/candidate.php?candidate_id=163,RAJNAGAR (SC),CPI(M),0,10th Pass,2020413,496238,1524175,34,SC,South Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=163&id2=79,2020413,1210000,810413,67%,Party in last election was CPM
Sudharshan Majumder,http://myneta.info/tripura2013/candidate.php?candidate_id=71,HRISHYAMUKH,BJP,0,Graduate,21500,0,21500,37,GEN,South Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Sudhir Das,http://myneta.info/tripura2013/candidate.php?candidate_id=186,SURMA (SC),CPI(M),0,12th Pass,4001322,249752,3751570,46,SC,Dhalai,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=186&id2=196,4001322,1652378,2348944,142%,Party in last election was CPM
Sudip Roy Barman,http://myneta.info/tripura2013/candidate.php?candidate_id=5,AGARTALA,INC,1,Graduate Professional,20766536,45000,20721536,6,GEN,West Tripura,Tripura West,true,true,true,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=5&id2=28,20766536,6939248,13827288,199%,Age Difference=3
Sujit Paul,http://myneta.info/tripura2013/candidate.php?candidate_id=118,TOWN BARDOWALI,IND,2,Graduate Professional,18258199,0,18258199,8,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Sujit Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=242,KAMALASAGAR,IND,0,8th Pass,84200,0,84200,15,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Sukha Ranjan Das,http://myneta.info/tripura2013/candidate.php?candidate_id=35,SURMA (SC),INC,0,12th Pass,4733659,1213309,3520350,46,SC,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Sunadhan Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=250,KRISHNAPUR (ST),IPFT,0,10th Pass,17000,298886,-281886,29,ST,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Surajit Datta,http://myneta.info/tripura2013/candidate.php?candidate_id=6,RAMNAGAR,INC,0,12th Pass,4350629,985458,3365171,7,GEN,West Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=6&id2=24,4350629,4698103,-347474,-7%,Age Difference=7 PAN was missing last time
Suranjan Kr. Das,http://myneta.info/tripura2013/candidate.php?candidate_id=88,PANISAGAR,BJP,0,10th Pass,650588,0,650588,58,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Sushankar Bhowmik,http://myneta.info/tripura2013/candidate.php?candidate_id=29,HRISHYAMUKH,INC,0,12th Pass,253271,75474,177797,37,GEN,South Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Sushil Malakar,http://myneta.info/tripura2013/candidate.php?candidate_id=292,SURMA (SC),IND,0,8th Pass,137000,25000,112000,46,SC,Dhalai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Sushil Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=234,AGARTALA,BJP,0,8th Pass,1060021,0,1060021,6,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Swapan Adhikari,http://myneta.info/tripura2013/candidate.php?candidate_id=65,RADHAKISHORPUR,BJP,0,12th Pass,3667721,400000,3267721,31,GEN,South Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Tapan Chakrabarti,http://myneta.info/tripura2013/candidate.php?candidate_id=206,CHANDIPUR,CPI(M),0,Graduate,2286120,537509,1748611,52,GEN,Unakoti,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=206&id2=159,2286120,562984,1723136,306%,PAN was missing last time Party in last election was CPM
Tapan Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=135,NALCHAR (SC),CPI(M),0,Graduate,5956442,0,5956442,21,SC,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Tapas Majumder,http://myneta.info/tripura2013/candidate.php?candidate_id=57,SURYAMANINAGAR,BJP,0,Graduate,10000,0,10000,18,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Thaiu Mog,http://myneta.info/tripura2013/candidate.php?candidate_id=72,MANU (ST),BJP,0,5th Pass,25000,0,25000,39,ST,South Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Tulshi Banik,http://myneta.info/tripura2013/candidate.php?candidate_id=56,KAMALASAGAR,BJP,0,10th Pass,1000,0,1000,15,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Tunubala Malakar,http://myneta.info/tripura2013/candidate.php?candidate_id=203,FATIKROY (SC),CPI(M),0,12th Pass,220993,120000,100993,51,SC,Unakoti,Tripura East,false,true,false,Female,NA,NA,NA,NA,NA,NA
Upendra Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=222,KANCHANPUR (ST),BJP,0,5th Pass,8000,0,8000,60,ST,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Uttam Das,http://myneta.info/tripura2013/candidate.php?candidate_id=17,NALCHAR (SC),INC,0,Graduate,520946,40966,479980,21,SC,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Uttam Das,http://myneta.info/tripura2013/candidate.php?candidate_id=162,KAKRABAN-SHALGARA (SC),NCP,0,8th Pass,41100,0,41100,33,SC,Gomati,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Uttam Kumar Ghosh,http://myneta.info/tripura2013/candidate.php?candidate_id=143,KHOWAI,IND,0,10th Pass,12600,200000,-187400,25,GEN,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Yudhisthir Das,http://myneta.info/tripura2013/candidate.php?candidate_id=119,BANAMALIPUR,CPI,0,Graduate Professional,6524280,0,6524280,9,GEN,West Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Zaidami Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=37,CHAWMANU (ST),INC,0,12th Pass,2165200,0,2165200,49,ST,Dhalai,Tripura East,false,false,false,Female,NA,NA,NA,NA,NA,NA
